                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2871,                 5.9631,                 2.3693,                      0,                      0,                      0,                      0,                 3.0292,                 7.7608,                 2.6586,              1.428e-05,              1.428e-05,              1.428e-05
                      2,                   2.04,                 5.3117,                 2.2551,                0.00014,                  0.125,                0.00028,                  3e-05,                 2.5343,                 6.8796,                 2.4066,             3.5504e-05,             3.5504e-05,             3.5504e-05
                      3,                 1.8803,                  4.785,                 2.1452,                0.01071,                 0.3125,                 0.0138,                0.00295,                  1.956,                 6.0532,                 2.0502,             5.6492e-05,             5.6492e-05,             5.6492e-05
                      4,                 1.6142,                 4.1027,                 1.9214,                0.68335,                  0.125,                 0.1371,                0.03165,                 1.7492,                 5.3633,                 2.0292,             7.7244e-05,             7.7244e-05,             7.7244e-05
                      5,                 1.4536,                 3.7229,                 1.9102,                0.44106,                0.33333,                0.30401,                0.12009,                 1.6302,                 4.7658,                 2.1233,             9.7761e-05,             9.7761e-05,             9.7761e-05
                      6,                 1.4468,                 3.2879,                 1.9647,                0.26904,                 0.6875,                0.41211,                0.17405,                 1.5337,                 3.9762,                 2.0835,             0.00011804,             0.00011804,             0.00011804
                      7,                 1.2988,                 3.0366,                 1.7472,                 0.4139,                0.43372,                0.37018,                0.17168,                 1.4669,                 3.4608,                 2.0545,             0.00013809,             0.00013809,             0.00013809
                      8,                 1.2685,                 2.8869,                 1.7485,                0.30704,                  0.597,                0.35505,                0.17737,                 1.2064,                 3.5244,                 1.6367,              0.0001579,              0.0001579,              0.0001579
                      9,                 1.2076,                 2.6454,                 1.6938,                0.41016,                0.66667,                0.47896,                0.26548,                 1.1614,                 3.1138,                 1.6559,             0.00017747,             0.00017747,             0.00017747
                     10,                 1.1845,                 2.4956,                 1.6638,                0.42395,                0.68695,                0.54093,                0.30696,                 1.0122,                 2.8094,                 1.5018,             0.00019681,             0.00019681,             0.00019681
                     11,                 1.1334,                 2.2314,                 1.6631,                0.46528,                0.67974,                0.47881,                0.25638,                  1.081,                 2.9036,                 1.7339,             0.00021591,             0.00021591,             0.00021591
