                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2871,                 5.9631,                 2.3693,                      0,                      0,                      0,                      0,                 3.0292,                 7.7608,                 2.6586,              1.428e-05,              1.428e-05,              1.428e-05
                      2,                   2.04,                 5.3117,                 2.2551,                0.00014,                  0.125,                0.00028,                  3e-05,                 2.5343,                 6.8796,                 2.4066,             3.5504e-05,             3.5504e-05,             3.5504e-05
                      3,                 1.8803,                  4.785,                 2.1452,                0.01071,                 0.3125,                 0.0138,                0.00295,                  1.956,                 6.0532,                 2.0502,             5.6492e-05,             5.6492e-05,             5.6492e-05
                      4,                 1.6142,                 4.1027,                 1.9214,                0.68335,                  0.125,                 0.1371,                0.03165,                 1.7492,                 5.3633,                 2.0292,             7.7244e-05,             7.7244e-05,             7.7244e-05
                      5,                 1.4536,                 3.7229,                 1.9102,                0.44106,                0.33333,                0.30401,                0.12009,                 1.6302,                 4.7658,                 2.1233,             9.7761e-05,             9.7761e-05,             9.7761e-05
                      6,                 1.4468,                 3.2879,                 1.9647,                0.26904,                 0.6875,                0.41211,                0.17405,                 1.5337,                 3.9762,                 2.0835,             0.00011804,             0.00011804,             0.00011804
                      7,                 1.2988,                 3.0366,                 1.7472,                 0.4139,                0.43372,                0.37018,                0.17168,                 1.4669,                 3.4608,                 2.0545,             0.00013809,             0.00013809,             0.00013809
                      8,                 1.2685,                 2.8869,                 1.7485,                0.30704,                  0.597,                0.35505,                0.17737,                 1.2064,                 3.5244,                 1.6367,              0.0001579,              0.0001579,              0.0001579
                      9,                 1.2076,                 2.6454,                 1.6938,                0.41016,                0.66667,                0.47896,                0.26548,                 1.1614,                 3.1138,                 1.6559,             0.00017747,             0.00017747,             0.00017747
                     10,                 1.1845,                 2.4956,                 1.6638,                0.42395,                0.68695,                0.54093,                0.30696,                 1.0122,                 2.8094,                 1.5018,             0.00019681,             0.00019681,             0.00019681
                     11,                 1.1334,                 2.2314,                 1.6631,                0.46528,                0.67974,                0.47881,                0.25638,                  1.081,                 2.9036,                 1.7339,             0.00021591,             0.00021591,             0.00021591
                     12,                 1.1677,                 2.3083,                 1.7003,                0.40679,                 0.5625,                0.55988,                 0.3386,                0.99634,                 3.0134,                  1.648,             0.00023478,             0.00023478,             0.00023478
                     13,                 1.1211,                 2.0367,                 1.6148,                0.56171,                0.69074,                 0.6724,                0.33758,                 1.1518,                 2.9166,                 1.7606,             0.00025341,             0.00025341,             0.00025341
                     14,                 1.1198,                 1.9938,                 1.7023,                0.33072,                0.85005,                0.72254,                0.42116,                 1.0919,                 2.4413,                 1.9684,             0.00027181,             0.00027181,             0.00027181
                     15,                  1.103,                 1.8726,                  1.652,                0.43715,                0.72894,                   0.74,                0.49451,                 1.0658,                 2.1775,                 2.0475,             0.00028997,             0.00028997,             0.00028997
                     16,                 1.0492,                 1.7808,                 1.6277,                0.39003,                0.65711,                0.71927,                0.54532,                 1.0689,                 2.0494,                 2.0988,             0.00030789,             0.00030789,             0.00030789
                     17,                 1.0681,                 1.7946,                 1.6751,                0.49346,                      1,                0.78146,                0.61124,                0.93819,                 1.6137,                 1.8995,             0.00032558,             0.00032558,             0.00032558
                     18,                 1.0418,                  1.732,                 1.6513,                0.64641,                0.84464,                0.80219,                0.60905,                 1.0717,                 1.6824,                 2.0271,             0.00034304,             0.00034304,             0.00034304
                     19,                 1.1012,                 1.7449,                 1.6121,                0.72435,                0.83361,                0.82917,                0.62357,                 1.1026,                 1.6047,                 2.0846,             0.00036026,             0.00036026,             0.00036026
                     20,                 1.0532,                 1.7365,                 1.6122,                0.54129,                0.97441,                0.89135,                0.66617,                0.99444,                 1.5246,                 1.9693,             0.00037724,             0.00037724,             0.00037724
                     21,                0.99638,                  1.548,                 1.6181,                0.52525,                0.98251,                0.87062,                0.62339,                 1.1259,                 1.4713,                 2.1623,             0.00039399,             0.00039399,             0.00039399
                     22,                 1.0738,                 1.6915,                 1.7402,                 0.5499,                0.91843,                0.91198,                0.67376,                 1.0168,                 1.4675,                 2.0197,              0.0004105,              0.0004105,              0.0004105
                     23,                 1.0384,                 1.7079,                 1.6279,                0.71555,                0.92647,                0.97417,                0.76309,                 1.0345,                 1.3122,                 1.9783,             0.00042677,             0.00042677,             0.00042677
                     24,                  1.086,                 1.5745,                 1.6116,                0.77863,                      1,                  0.995,                0.76759,                 1.0691,                 1.1563,                 2.0531,             0.00044281,             0.00044281,             0.00044281
                     25,                0.98925,                 1.3687,                 1.5703,                0.75262,                      1,                  0.995,                0.70298,                 1.1928,                 1.1387,                 2.2688,             0.00045862,             0.00045862,             0.00045862
                     26,                 1.0155,                  1.393,                  1.653,                0.78308,                      1,                  0.995,                0.74451,                 1.0268,                 1.0576,                 2.0448,             0.00047419,             0.00047419,             0.00047419
                     27,                 1.0336,                 1.4117,                 1.6411,                0.72218,                0.95521,                  0.995,                0.75169,                 1.0297,                 1.2413,                   1.95,             0.00048952,             0.00048952,             0.00048952
                     28,                 0.9536,                 1.3562,                 1.5445,                0.65042,                0.97406,                  0.995,                0.75472,                 1.0583,                 1.1446,                 2.0448,             0.00050462,             0.00050462,             0.00050462
